description,address,property_type,price,size,bedrooms,bathrooms,parking_spaces,contract_type,latitude,longitude
"SQNW 107 Bloco F, NOROESTE, BRASILIA",,apartamento,5900.0,77.0,2.0,,2.0,aluguel,,
"SGCV, PARK SUL, BRASILIA",,apartamento,3200.0,32.0,1.0,,1.0,aluguel,-15.8247211,-47.9537743
"Rua 8, NORTE, AGUAS CLARAS",,apartamento,2890.0,60.0,2.0,,1.0,aluguel,-11.7146885,-49.1039172
"SGCV, PARK SUL, BRASILIA",,apartamento,3800.0,42.0,1.0,,,aluguel,-15.8247211,-47.9537743
"Rua 31, SUL, AGUAS CLARAS",,apartamento,3900.0,59.0,2.0,,1.0,aluguel,-15.8398498,-48.0364797
"SQS 204 Bloco K, ASA SUL, BRASILIA",,apartamento,6900.0,100.0,3.0,,1.0,aluguel,,
"Avenida Pau Brasil, NORTE, AGUAS CLARAS",,apartamento,3200.0,102.0,3.0,,1.0,aluguel,-15.8381184,-48.0275694
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",,apartamento,9000.0,131.0,3.0,,2.0,aluguel,-15.8311467,-48.0150679
"Rua 14, NORTE, AGUAS CLARAS",,apartamento,2600.0,68.0,2.0,,1.0,aluguel,-3.056255,-59.9805856
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",,apartamento,1600.0,42.0,1.0,,1.0,aluguel,-15.8311467,-48.0150679
"SCES Trecho 4, ASA SUL, BRASILIA",,apartamento,7000.0,53.0,1.0,,1.0,aluguel,-15.8253954,-47.8868277
