description,address,property_type,price,size,bedrooms,bathrooms,parking_spaces,contract_type,latitude,longitude
"SQNW 107 Bloco E, NOROESTE, BRASILIA",,apartamento,3180.0,203.0,4.0,,4.0,venda,-15.7525912,-47.9105672
"Rua DAS CARNAUBASNORTE, AGUAS CLARAS",,apartamento,,63.0,2.0,,,venda,-15.8274959,-48.0194049
"Avenida Parque Águas ClarasNORTE, AGUAS CLARAS",,apartamento,2150.0,175.0,4.0,,,venda,-15.8353204,-48.0258896
"Rua 3, SUL, AGUAS CLARAS",,apartamento,680000.0,83.0,3.0,,1.0,venda,-15.8365529,-48.0103759
"SQNW 110 Bloco H, NOROESTE, BRASILIA",,apartamento,3600.0,276.0,4.0,,3.0,venda,-15.7455579,-47.9113128
"SQNW 104 Bloco F, NOROESTE, BRASILIA",,apartamento,1535.0,89.0,3.0,,2.0,venda,-15.761381,-47.9101125
"SQNW 102 Bloco K, NOROESTE, BRASILIA",,apartamento,1630.0,102.0,3.0,,2.0,venda,-15.7671098,-47.9075588
"SQNW 305 Bloco HNOROESTE, BRASILIA",,apartamento,,110.0,3.0,,,venda,-15.7414116,-47.9113569
"CA 11, LAGO NORTE, BRASILIA",,apartamento,1320.0,81.0,3.0,,2.0,venda,-15.7136528,-47.8880785
"SQNW 307 Bloco INOROESTE, BRASILIA",,apartamento,1374.0,74.0,2.0,,,venda,-15.7527817,-47.9124826
"Área Especial 02 Módulo E, GUARA II, GUARA",,apartamento,799000.0,60.0,2.0,,2.0,venda,-15.8324279,-47.9873757
"SQNW 104 Bloco F, NOROESTE, BRASILIA",,apartamento,1954.0,105.0,3.0,,3.0,venda,-15.761381,-47.9101125
"SQSW 301 Bloco F, SUDOESTE, BRASILIA",,apartamento,3200.0,166.0,3.0,,4.0,venda,-15.7963967,-47.9220814
"QI 29, GUARA II, GUARA",,apartamento,1475.0,117.0,3.0,,2.0,venda,-15.8395474,-47.9774445
"SGAN 915 Módulo B, ASA NORTE, BRASILIA",,kitnet,460000.0,28.0,1.0,,1.0,venda,-15.7434026,-47.9012933
"SQSW 301 Bloco F, SUDOESTE, BRASILIA",,apartamento,3200.0,166.0,3.0,,4.0,venda,-15.7963967,-47.9220814
"SQNW 109 Bloco A, NOROESTE, BRASILIA",,apartamento,1690.0,106.0,3.0,,2.0,venda,-15.7477786,-47.9103014
"SQN 104, ASA NORTE, BRASILIA",,apartamento,1499.0,125.0,3.0,,,venda,-15.7758441,-47.8828783
"SQN 212 Bloco G, ASA NORTE, BRASILIA",,apartamento,1200.0,83.0,2.0,,1.0,venda,-15.7497929,-47.8858278
"SQSW 301 Bloco F, SUDOESTE, BRASILIA",,apartamento,3200.0,166.0,4.0,,4.0,venda,-15.7963967,-47.9220814
